cdli_name,unicode_name
4(N58),PROTO-CUNEIFORM NUMBER FOUR-N58
4(N59),PROTO-CUNEIFORM NUMBER FOUR-N59
4(N62),PROTO-CUNEIFORM NUMBER FOUR-N62
4(LAGAB~a),PROTO-CUNEIFORM NUMBER FOUR-LAGAB-A
5(N01),PROTO-CUNEIFORM NUMBER FIVE-N1
5(N01@f),PROTO-CUNEIFORM NUMBER FIVE-N1 FLAT
5(N02),PROTO-CUNEIFORM NUMBER FIVE-N2
5(N03),PROTO-CUNEIFORM NUMBER FIVE-N3
5(N04),PROTO-CUNEIFORM NUMBER FIVE-N4
5(N04@f),PROTO-CUNEIFORM NUMBER FIVE-N4 FLAT
5(N05),PROTO-CUNEIFORM NUMBER FIVE-N5
5(N08),PROTO-CUNEIFORM NUMBER FIVE-N8
5(N14),PROTO-CUNEIFORM NUMBER FIVE-N14
5(N14),PROTO-CUNEIFORM NUMBER FIVE-N14 VARIANT 1
5(N14@f),PROTO-CUNEIFORM NUMBER FIVE-N14 FLAT
5(N15),PROTO-CUNEIFORM NUMBER FIVE-N15
5(N18),PROTO-CUNEIFORM NUMBER FIVE-N18
5(N19),PROTO-CUNEIFORM NUMBER FIVE-N19
5(N19@f),PROTO-CUNEIFORM NUMBER FIVE-N19 FLAT
5(N20),PROTO-CUNEIFORM NUMBER FIVE-N20
5(N21),PROTO-CUNEIFORM NUMBER FIVE-N21
5(N23),PROTO-CUNEIFORM NUMBER FIVE-N23
5(N34),PROTO-CUNEIFORM NUMBER FIVE-N34
5(N34@f),PROTO-CUNEIFORM NUMBER FIVE-N34 FLAT
5(N35),PROTO-CUNEIFORM NUMBER FIVE-N35
5(N36),PROTO-CUNEIFORM NUMBER FIVE-N36
5(N45),PROTO-CUNEIFORM NUMBER FIVE-N45
5(N45@f),PROTO-CUNEIFORM NUMBER FIVE-N45 FLAT
5(N48),PROTO-CUNEIFORM NUMBER FIVE-N48
5(N49),PROTO-CUNEIFORM NUMBER FIVE-N49
5(N50),PROTO-CUNEIFORM NUMBER FIVE-N50
5(N51),PROTO-CUNEIFORM NUMBER FIVE-N51
5(N51@f),PROTO-CUNEIFORM NUMBER FIVE-N51 FLAT
5(N52),PROTO-CUNEIFORM NUMBER FIVE-N52
5(N54),PROTO-CUNEIFORM NUMBER FIVE-N54
5(N57),PROTO-CUNEIFORM NUMBER FIVE-N57
|5(N57).GAR|,PROTO-CUNEIFORM SIGN FIVE-N57 BESIDE GAR
|5(N57).KU3~a|,PROTO-CUNEIFORM SIGN FIVE-N57 BESIDE KU3-A
5(N58),PROTO-CUNEIFORM NUMBER FIVE-N58
6(N01),PROTO-CUNEIFORM NUMBER SIX-N1
6(N01@f),PROTO-CUNEIFORM NUMBER SIX-N1 FLAT
6(N02),PROTO-CUNEIFORM NUMBER SIX-N2
6(N08),PROTO-CUNEIFORM NUMBER SIX-N8
6(N14),PROTO-CUNEIFORM NUMBER SIX-N14
6(N14),PROTO-CUNEIFORM NUMBER SIX-N14 VARIANT 1
6(N14@f),PROTO-CUNEIFORM NUMBER SIX-N14 FLAT
6(N18),PROTO-CUNEIFORM NUMBER SIX-N18
6(N19),PROTO-CUNEIFORM NUMBER SIX-N19
6(N19@f),PROTO-CUNEIFORM NUMBER SIX-N19 FLAT
6(N20),PROTO-CUNEIFORM NUMBER SIX-N20
6(N21),PROTO-CUNEIFORM NUMBER SIX-N21
6(N24),PROTO-CUNEIFORM NUMBER SIX-N24
6(N34),PROTO-CUNEIFORM NUMBER SIX-N34
6(N34@f),PROTO-CUNEIFORM NUMBER SIX-N34 FLAT
6(N36),PROTO-CUNEIFORM NUMBER SIX-N36
6(N45),PROTO-CUNEIFORM NUMBER SIX-N45
6(N45@f),PROTO-CUNEIFORM NUMBER SIX-N45 FLAT
6(N48),PROTO-CUNEIFORM NUMBER SIX-N48
6(N51),PROTO-CUNEIFORM NUMBER SIX-N51
6(N51@f),PROTO-CUNEIFORM NUMBER SIX-N51 FLAT
6(N57),PROTO-CUNEIFORM NUMBER SIX-N57
6(N57),PROTO-CUNEIFORM NUMBER SIX-N57 VARIANT 1
|6(N57).GAR|,PROTO-CUNEIFORM SIGN SIX-N57 BESIDE GAR
|6(N57).KU3~a|,PROTO-CUNEIFORM SIGN SIX-N57 BESIDE KU3-A
