	9(bur)		9(bur₃)
	abzu		abzu₂
	giri⁻		giri₁₆⁻
	udilia		udilia
	zizna		zizna
×BAD|	×BAD|
@sign	TE	@sign	TE
@sign	TE@g	@sign	TE@g
@sign	TI	@sign	TI
@sign	TIL	@sign	TIL
@sign	TU	@sign	TU
@sign	TUG	@sign	TUG₂
@sign	TUK	@sign	TUK
@sign	TUM	@sign	TUM
@sign	TUR	@sign	TUR
@sign	U	@sign	U
@sign	U@g	@sign	U@g
@sign	U@v	@sign	U@v
@sign	UB	@sign	UB
@sign	UD	@sign	UD
@sign	UD@180	@sign	UD@180
@sign	UD@g	@sign	UD@g
@sign	UD@s	@sign	UD@s
@sign	UDUG	@sign	UDUG
@sign	UM	@sign	UM
@sign	UMBIN	@sign	UMBIN
@sign	UMUM	@sign	UMUM
@sign	UN	@sign	UN
@sign	UN@g	@sign	UN@g
@sign	UR	@sign	UR
@sign	UR@180	@sign	UR@180
@sign	UR@s	@sign	UR@s
@sign	URI	@sign	URI
@sign	URI	@sign	URI₃
@sign	URU	@sign	URU
@sign	URU@g	@sign	URU@g
@sign	URUDA	@sign	URUDA
@sign	UR	@sign	UR₂
@sign	UR	@sign	UR₄
@sign	UR@h	@sign	UR₂@h
@sign	USSU	@sign	USSU
@sign	USSU	@sign	USSU₃
@sign	UTUKI	@sign	UTUKI
@sign	UZU	@sign	UZU
@sign	UZ	@sign	UZ₃
@sign	UŠ	@sign	UŠ
@sign	U	@sign	U₂
@sign	UŠX	@sign	UŠX
@sign	UŠ	@sign	UŠ₂
@sign	WN	@sign	WN
@sign	X	@sign	X
@sign	X	@sign	X₁
@sign	ZA	@sign	ZA
@sign	ZAG	@sign	ZAG
@sign	ZAX	@sign	ZAX
@sign	ZA	@sign	ZA₇
@sign	ZE	@sign	ZE₂
@sign	ZI	@sign	ZI
@sign	ZIG	@sign	ZIG
@sign	ZIZ	@sign	ZIZ₂
@sign	ZI	@sign	ZI₃
@sign	ZU	@sign	ZU
@sign	ZUBI	@sign	ZUBI
